"id","japanese","english","const"
"716","小項目では詳細表示できませんが、よろしいですか？","Details cannot be displayed in the smaller item, continue anyway?",""
"717","「定量評価」が小項目に設定されています","[Quantitative evaluation] is set as smaller item",""
"718","編集 ","Edit ",""
"719","検索 ","Search ",""
"720","ﾌﾟﾛｼﾞｪｸﾄ","Project","PD_C_INFOKIND_PROJECT_STR"
"721","お気に入りに追加","Add to favorites folder",""
"722","お気に入りから削除","Delete from the favorites folder",""
"723","プロジェクト更新","Update project",""
"724","新規プロジェクト登録","Register new Project",""
"725","子プロジェクト登録","Register sub project",""
"726","親プロジェクト登録","Register parent project",""
"727","プロジェクト削除","Delete project",""
"728","表示 ","Display ",""
"729","全組織表示","Display all organizations",""
"730","ツリー表示","Tree display",""
"731","標準","Standard","PD_C_GRAPH_FONT_STYLE"
"732","履歴","History",""
"733","ﾌｧｲﾙ ","File ",""
"734","エクスポート","Export",""
"735","ｵﾌﾟｼｮﾝ","Option",""
"736","バージョン情報","About",""
"737","再読込","Refresh",""
"738","お気に入り","Favorites",""
"739","担当","Person in charge",""
"740","全体","All",""
"741","検索","Search",""
"742","ポップアップ","Popup",""
"743","自動値メニュー","Auto value menu",""
"744","自動設定値に戻す","Restore automatic values",""
"745","(改行はShift+Enterで入力)","(Press Shift+Enter to start a new line)",""
"746","・","*",""
"747","必須項目のためクリアできません","Cannot clear required item",""
"748","「%1」をクリアしますか？","Are you sure to clear [%1]?",""
"749","金額：円","Amount: yen",""
"750","金額：千円","Amount: thousand yen",""
"751","金額：万円","Amount: ten thousand yen",""
"752","金額：百万円","Amount: million yen",""
"753","規模：","Scale:",""
"754","プロジェクトを選択してください","Please select the project",""
"755","プロジェクト情報の取得でエラーが発生しました","Error occurred when acquiring project information",""
"756","すでにお気に入りに追加されています","Already added to the favorites",""
"757","%1を お気に入りに追加しました","%1 has been added to my favorite folder",""
"758","未承認のため、子プロジェクトは登録できません","Subproject cannot be registered since not permitted",""
"759","権限がないため、プロジェクトを削除できません","Unable to delete project since having no authority",""
"760","子プロジェクトが存在するため、プロジェクトを削除できません","Unable to delete the project since it has sub projects",""
"761","子プロジェクトのため、削除できません","Unable to delete the project since it has sub projects",""
"762","削除してもよろしいですか？","Are you sure to delete?",""
"763","プロジェクトの削除に失敗しました","Failed to delete the project",""
"764","承認後に削除されます","Deleted after approval",""
"765","プロジェクトを削除しました","Project deleted",""
"766","読込中...","Reading...",""
"767","非ツリー表示","Not display as tree",""
"768","組織別表示","Display by organization",""
"769","%1件","%1 items",""
"770","再読み込みを行うと現在表示されているデータは失われます。","The currently displayed data will be lost if reread","PD_MSG_CONFRELOAD"
"771","再読み込みしますか？","Are you sure to reread?","PD_MSG_CNF_RELOAD1"
"772","データを保存しました。","Data saved.","PD_MSG_ENDREG"
"773","保存中...","Saving...",""
"774","データ保存に失敗しました。","Failed to save data.",""
"775","編集結果を破棄してよろしいですか？","Are you sure to cancel the edited results?",""
"776","定性評価","Qualitative evaluation","PD_C_S_ASSESSMENT"
"777","定量評価","Quantitative evaluation",""
"778","検索条件","Search condition",""
"779","項目名","Item name",""
"780","対象範囲","Target scope",""
"781","活動区分","By activity",""
"782","担当区分","By person in charge",""
"783","階層まで","Level up",""
"784","階層区分","By level",""
"785","プロセス適用","Process applied",""
"786","最新状況報告登録","Register the latest status report",""
"787","条件設定","Condition settings",""
"788","条件","Condition",""
"789","設定","Settings",""
"790","ファイル選択","Select file",""
"791","基本条件項目","Basic condition items",""
"792","カスタマイズして利用する","Customize and use",""
"793","編集","Edit",""
"794","必須表示プロジェクト","Projects that must be displayed",""
"795","検索条件に関わらず表示させるプロジェクトを設定する","Set the displayed projects regardless of search condition ",""
"796","↓下へ","Down",""
"797","↑上へ","Up",""
"798","出力できる項目","Exportable item",""
"799","出力する項目","Export item",""
"800","基本","Basic",""
"801","ﾌｧｲﾙ出力","Export file",""
"802","最上位のみ","For the utmost top only",""
"803","作業状態","Work status","PD_C_ITEMGID_SEARCH_PRJEND_STR"
"804","未完了","Not completed","PD_C_COMBO_AS_NULL_STR"
"805","有効な日付を入力してください。","Please enter valid date.",""
"806","チェック数 全%1件","Checked items %1",""
"807","テキストファイル","Text file",""
"808","重点プロジェクト","Main project","PD_C_ITEMGID_SEARCH_QM_IMPPRJ_STR"
"809","定性評価(総合)","Qualitative evaluation (comprehensive)",""
"810","プロジェクトコード","Project code",""
"811","プロジェクトID","ProjectID",""
"812","親プロジェクトID","Parent project ID",""
"813","組織名","Organization name",""
"814","概要体制定義","Outline team structure definition",""
"815","概要","Outline",""
"816","スケジュール","Schedule",""
"817","最新状況報告","latest status report",""
"818","定性評価(詳細)","Qualitative evaluation (details)",""
"819","プロジェクト状況概要","Project status outline",""
"820","作業状況","Work status",""
"821","今後の予定","Future schedule",""
"822","問題点と提案する解決法","Problems and proposed solutions",""
"823"," ～ "," -- ",""
"824","階層を指定して下さい","Please specify level",""
"825","%1文字以内で入力してください。","Please enter within %1 characters.",""
"826","有効範囲内の数値(-2147483648～2147483647)を入力してください。","Please enter valid range of number (-2147483648 -- 2147483647).",""
"827","有効範囲内の数値(-999999999999999 ～ 999999999999999)を入力してください。","Please enter valid range of number (-999999999999999 -- 999999999999999).",""
"828","有効範囲内の数値(-99999999.999 ～ 99999999.999)を入力してください。","Please enter valid range of number (-99999999.999 -- 99999999.999).",""
"829","設定した必須表示プロジェクトの数が1000個を越えています。","Specified required display project number exceeds 1000.",""
"830","このまま実行しますか？","Are you sure to execute?",""
"831","出力する項目を指定してください","Please specify export item",""
"832","ファイルは読み取り専用です。上書きしてもよろしいですか？","The file is a read only one. Overwrite it?",""
"833","ファイルは既に存在します。上書きしてよろしいですか？","The file is a read only one. Overwrite it?",""
"834","ファイル名はフルパスで指定してください。","Please specify full path for file name.",""
"835","ファイル名に次の文字は使えません。","The following characters cannot be used in file name.",""
"836","ファイル名を正しく指定してください。","Please specify file name correctly.",""
"837","フォルダ %1%r%nが存在しません。作成しますか？","Folder %1%r%nnot exists, Create it?",""
"838","適用","Apply",""
"839","未適用","Not applied",""
"840","一覧ファイルを作成しました。","List file created.",""
"841","一覧ファイルを作成しました。ただし、想定外のコードを検出しました。","List file created. However an unexpected code appeared.",""
"842","一覧ファイルの作成でエラーが発生しました。","Error occurred when creating list file.",""
"843","組織名(概要体制定義)","Organization name (outline team structure definition)",""
"844","作成者(概要体制定義)","Author (outline team structure definition)",""
"845","作成日(概要体制定義)","Created on (outline team structure definition)",""
"846","組織名(最新状況報告)","Organization name (latest status report)",""
"847","作成者(最新状況報告)","Author (latest status report)",""
"848","作成日(最新状況報告)","Created on (Latest status report)",""
"849","開始日(最新状況報告)","Start date (latest status report)",""
"850","終了日(最新状況報告)","End date (latest status report)",""
"851","定性評価(客先)","Qualitative evaluation(customer)",""
"852","定性評価(品質)","Qualitative evaluation (quality)",""
"853","定性評価(性能)","Qualitative evaluation (performance)",""
"854","定性評価(要員)","Qualitative evaluation (member)",""
"855","定性評価(費用)","Qualitative evaluation (cost)",""
"856","定性評価(納期)","Qualitative evaluation (delivery date)",""
"857","定性評価(障害)","Qualitative evaluation (defect)",""
"858","入力文字列が長すぎます。","Input string is too long.",""
"859","不正文字が入力されています。","Illegal characters entered.",""
"860","入力文字列長に誤りがあります。","Length of input string is mistaken.",""
"861","プロセス情報が登録されていません。サーバ:","Process information not be registered. Server:",""
"862","グループ標準","Group standards",""
"863","事業部標準","Business division standard",""
"864","プロジェクト規定","Project provision",""
"865","処理を終了しました｡","Processing ended.",""
"866","メールを%1通処理しました。","%1 mails have been processed.",""
"867","%1うち、%2通に問題があったため、登録を行えませんでした。","Unable to perform registration, as % 2 Problematic copies exist in % 1.",""
"868","メールはありませんでした。","Mail not exists.",""
"869","すでにログインされています. サーバ:","Already login.  Server:",""
"870","要員情報が登録されていません。サーバ:","Member information not registered. Server:",""
"871","組織情報が登録されていません。サーバ:","Organization information not registered. Server:",""
"872","要員情報と組織情報が登録されていません。サーバ:","Member and organization information not registered. Server:",""
"873","社員番号またはパスワードが誤っています. サーバ:","Login ID or password is mistaken. Server:",""
"874","データベースが矛盾しています.(要員情報が登録されてません) サーバ:","Database conflict.(Member information not registered) Server:",""
"875","ログインが禁止されています. サーバ:","Login refused. Server:",""
"876","自社","Our company",""
"877","データベースが矛盾しています.(会社情報が登録されてません) サーバ:","Database conflict.(Company information not registered) Server:",""
"878","組織番号が誤っています. サーバ:","Organization code is mistaken. Server:",""
"879","利用者情報が登録されていません。サーバ:","The user information not be registered. Server:",""
"880","要員情報が登録されてません。サーバ:","Member information registered. Server:",""
"881","社員番号が誤っています.","Login ID is mistaken",""
"882","パスワードが異なっています.","Password is different",""
"883","プロジェクト情報が登録されていません。サーバ:","Project information not registered. Server:",""
"884","■■ SuperSCALE To ProcessDirector ■■","[*][*] SuperSCALE To ProcessDirector [*][*]",""
"885","Init() 呼び出し(%1)","Init() invoke (%1)",""
"886","正常終了しました(%1)","Ended successfully.",""
"887","異常終了しました","Terminated exceptionally",""
"888","ProcessDirectorデータベース接続成功：","ProcessDirector Database connection succeeded:",""
"889","SuperSCALEデータベース接続成功：","SuperSCALE Database connection succeeded:",""
"890","ProcessDirectorデータベース接続失敗：%1、Err:%2","ProcessDirector Database connection failed: %1, Err:%2",""
"891","SuperSCALEデータベース接続失敗：%1、Err:%2","SuperSCALE Database connection failed: %1, Err:%2",""
"892","会社変換処理を開始しました","Company change processing started",""
"893","会社変換処理を終了しました","Company change processing ended",""
"894","SS社員受信でエラーが発生しました：%1、Err:%2","Error occurred when SS Member receives mail: %1, Err:%2",""
"895","会社変換処理が異常終了しました","Company change processing terminated exceptionally",""
"896","会社でエラーが発生しました：%1、Err:%2","Error occurred with company: %1, Err:%2",""
"897","SSパートナー会社でエラーが発生しました(CE)：%1、Err:%2","Error occurred in SS Partner Company (CE): %1, Err:%2",""
"898","SSパートナー会社に会社コードが存在しません(CE)：%1、Err:%2","Company name not exists in SS Partner Company (CE): %1, Err:%2",""
"899","会社の追加でエラーが発生しました(CE)：%1、Err:%2","Error occurred when adding company  (CE): %1, Err:%2",""
"900","部門変換処理を開始しました","Department change processing started",""
"901","部門変換処理を終了しました","Department change processing ended",""
"902","SS部門受信でエラーが発生しました：%1：%2、Err:%3","Error occurred when SS Division receives mail: %1: %2, Err:%3",""
"903","部門変換処理が異常終了しました","Department change processing terminated exceptionally",""
"904","部門でエラーが発生しました：%1：%2、Err:%3","Department error occurred: %1: %2, Err: %3",""
"905","SS部門受信でエラーが発生しました(OE)：%1、Err:%2","Error occurred when SS Division receives mail (OE): %1, Err:%2",""
"906","SS部門受信に部門コードが存在しません(OE)：%1、Err:%2","Division code not exists when SS Division receives mail (OE): %1, Err:%2",""
"907","部門の追加でエラーが発生しました(OE)：%1、Err:%2","Error occurred when adding department (OE): %1, Err:%2",""
"908","要員変換処理を開始しました","Member change processing started",""
"909","要員変換処理を終了しました","Member change processing ended",""
"910","要員変換処理が異常終了しました","Member change processing terminated exceptionally",""
"911","要員でエラーが発生しました(MC)：%1、Err:%2","Error occurred with member (MC): %1, Err: %2",""
"912","要員の追加／更新でエラーが発生しました(MC)：%1、Err:%2","Error occurred with when adding/updating member (MC): %1, Err: %2",""
"913","所属関係表でエラーが発生しました(RC)：%1、Err:%2","Error occurred with the relation table (RC): %1, Err:%2",""
"914","所属関係表の追加／更新でエラーが発生しました(RC)：%1、Err:%2","Error occurred when add/update the relation table (RC): %1, Err:%2",""
"915","代行者","Agent",""
"916","所属組織","The organization","PD_C_S_SECNAME"
"917","役職","Position",""
"918","代行者と同じ要員は設定できません。","Cannot set the member same as the agent.",""
"919","同じ依頼が登録されています。","Same request registered.",""
"920","依頼者と同じ要員は設定できません。","Unable to set same member as requestor.",""
"921","依頼者を設定してください。","Please set requestor.",""
"922","代行者を設定してください。","Please set agent.",""
"923","備考が長すぎます(255バイト以内)。","Note is too long (within 255 bytes)",""
"924","オプション","Option",""
"925","ツリー下層の報告者を表示する","Display reporters under the tree",""
"926","閲覧方法の指定","Specify browse method",""
"927","別ウィンドウに表示する","Display in other window",""
"928","ワンクリックで表示する","Display by click",""
"929","プロパティ","Property",""
"930","役職　：","Position  :",""
"931","名前　：","Name  :",""
"932","所属組織　：","The organization  :",""
"933","B事業部","B Department",""
"934","日電一郎","Mike Smith",""
"935","事業部長","Senior Manager",""
"936","配下の所属組織も対象とする","Take all the organizations in the sub layer as targets, too",""
"937","検索対象","Search target",""
"938","すべて","All","PD_C_STR_ALL"
"939","依頼者のみ","For requestor only",""
"940","代行者のみ","Only for agent",""
"941","表示数: ","Display number ",""
"942","選択されている設定を削除してよろしいですか","Are you sure to delete the selected settings?",""
"943","責任者","Responsibles","PD_C_ITEMGID_ETC_PRJTMMEMID_STR"
"944","リーダ","Leader","PD_C_ITEMGID_ETC_PRJLDMEMID_STR"
"945","サブリーダ","Sub leader",""
"946","品質責任者","Person in charge of quality",""
"947","構成管理者","Configuration manager",""
"948","予算管理者","Budget manager",""
"949","階層追加","Add level",""
"950","階層を追加します","Add level",""
"951","階層削除","Delete level",""
"952","階層を削除します","Delete level",""
"953","ﾌﾟﾛﾊﾟﾃｨ","Property",""
"954","選択中の階層のプロパティ情報を表示します","Display the property information of the selected level",""
"955","登録　","Register  ",""
"956","確認パターンを登録します","Register validation pattern",""
"957","削除　","Delete  ",""
"958","確認パターンを削除します","Delete validation pattern",""
"959","定義対象","Define target",""
"960","(更新)","(Update)",""
"961","パターン","Pattern",""
"962","コンテキストメニュー","Context menu",""
"963","DB接続中…","In connecting with Database ...",""
"964","作業者","Worker","PD_C_WORKER_WORKER_STR"
"965","確認者","Validator",""
"966","更新内容が破棄されますが、よろしいですか？","Modified contents will be canceled, continue anyway?",""
"967","階層は %1 階層までです","The Hierarchy is up to %1 levels",""
"968","下位の組織にも同じ定義を登録しますか？","Do you want to register the same definition in the sub organization?",""
"969","下位の組織の定義も削除しますか？","Do you want to delete the sub organization definition?",""
"970","「%1」を削除してよろしいですか？","Are you sure to delete [%1]?",""
"971","データが更新されました。保存しますか？","Data modified. Are you sure to save?",""
"972","登録対象選択","Select register target",""
"973","登録対象を選択してください","Please select  register target",""
"974","メンバー一覧","Member list",""
"975","↓","",""
"976","確認者一覧","Validator list",""
"977","選択対象者一覧","Select intended member list",""
"978","同期値が同じメンバーがいる場合は、その全てが確認しないと次の階層に進みません。","If there exists member with the same synchronous value,cannot go on to next level untile all of them have validated.",""
"979","確認者追加","Add validator",""
"980","(対象階層番号 %1)","(Target level number %1)",""
"981","社員番号","Login ID",""
"982","役割","Role",""
"983","%1リーダ","%1 Leader",""
"984","%1サブリーダ","%1 Sub Leader",""
"985","限定担当","Limited person in charge",""
"986","一般担当","Common person in charge",""
"987","使用できない文字が含まれています","Include unusable characters",""
"988","同期値は最大４桁です","Synchronous value must be within 4 digits",""
"989","（コピー元と同じ%1）","(Same %1 as the copy-from)",""
"990","プロジェクト %1 のコンテンツ %2 が割当てられました","Contents %2 of project %1 have been assigned",""
"991","[作業割当て]","[Work assignment]","PD_C_LOG_ACTION_MEMASG"
"992","プロジェクト %1 のコンテンツ %2 が %3 に割当て変更されました","Contents %2 of project %1 have been changed by assigning to %3",""
"993","[作業割当て変更]","[Work assignment change]",""
"994","%1 が割当てられました","%1 has been assigned",""
"995","構成管理ツールからのファイル取得に失敗しました","Failed to acquire file from configuration management tools",""
"996","コンテンツリレーションの挿入に失敗しました。","Failed to insert contents relation.",""
"997","コンテンツリレーションの更新に失敗しました。","Failed to update contents relation.",""
"998","（保留）","(Hold)",""
"999","作業者が設定されていません","Worker not set",""
"1000","作業が完了している影響コンテンツがあります。これらも割当てますか？","Effect contents exist with the completed work. Continue to assign anyway?",""
"1001","（変更不可）","(Unchangeable)",""
"1002","（割当て元と共有）","(Share with assignment source)",""
"1003","(コンテンツ共有フォルダ)","(Contents share folder)",""
"1004","(クリップ)","(Clip)",""
"1005","格納先フォルダ選択","Select storing folder",""
"1006","ﾌｫﾙﾀﾞ作成","Create folder",""
"1007","作成するフォルダの名前を入力して下さい%r%n%r%n作成先 %1","Please enter the folder name to create%r%n%r%nCreate location %1",""
"1008","新規フォルダ作成","Create new folder",""
"1009","新規フォルダ","New folder",""
"1010","フォルダ新規作成に失敗しました","Failed to create new folder",""
"1011","この名前のフォルダは既に存在します","Folder with the same name already exists",""
"1012","ツリーを作成できません。選択した%1がありません。","Unable to create tree. There exists no %1.",""
"1013","「$\$」フォルダに指定できません","Cannot be specified as [$\$] folder",""
"1014","[エラー]","[Error]",""
"1015","警告:","Warning:",""
"1016","プロジェクトがロードできませんでした","Unable to load the project",""
"1017","エンティティがロードできませんでした","Unable to load entity",""
"1018","ファイルがすでに存在しているので","Since file already exists,",""
"1019","指定された作業アイテムが見つかりませんでした","Specified work item not found",""
"1020",": 警告",": Warning",""
"1021",": エラー",": Error",""
"1022","アーカイブが見つかりません","Archive not found",""
"1023","ディレクトリではありません","Not a directory",""
"1024","どのファイルも処理されません","No file can be processed.",""
"1025","フォルダ新規作成","New folder",""
"1026","Eメール連絡する","Contact by E-mail",""
"1027","サーバフォルダで登録","Register as server folder",""
"1028","フォルダ名：","Folder name:",""
"1029","作業期間：","Work period:",""
"1030","モジュール：","Module",""
"1031","コンテンツ名：","Contents name:",""
"1032","作業者：","Worker:",""
"1033","作成するタスク：","Created task:",""
"1034","フォルダ名の末尾に '.' は使えません"," '.' cannot be used at the end of folder name",""
"1035","作成する%1：","Created %1:",""
"1036","ダミーコンテンツ新規作成","New dummy contents",""
"1037","フォルダ割当て","Folder assignment",""
"1038","登録元： ","Register-from: ",""
"1039","ファイル名：","File name:",""
"1040","サーバファイルで登録","Register as server file",""
"1041","ファイル割当て","File assignment",""
"1042","テキスト新規作成","New text",""
"1043","新規テキスト","New Text",""
"1044","作成する階層：","Level to create:",""
"1045","(ツリーから選択してください)","(Please select from the tree)",""
"1046","登録に失敗しました","Failed to register",""
"1047","成果物格納フォルダが存在しないか、アクセスできません。","Product storing folder not exists, or cannot be accessed.",""
"1048","フォルダ名： ","Folder: ",""
"1049","このフォルダ名は既に存在します","The folder name already exists.",""
"1050","ファイル名が長すぎるため登録できません","Cannot register since file name is too long",""
"1051","階層作成","Create level",""
"1052","上位階層","Upper level",""
"1053","階層名","Level name",""
"1054","階層コード","Level code",""
"1055","階層コードを入力してください","Please enter level code",""
"1056","階層コードは英数字で入力してください","Please enter level code with English number",""
"1057","階層名を入力してください","Please enter level name",""
"1058","階層名に文字 ' は使用できません","Character ' cannot be used in level name",""
"1059","サーバの追加","Add server",""
"1060","サーバのIPアドレス","Sever IP address",""
"1061","指定したサーバが見つかりません。","Specified server not found.",""
"1062","サーバを追加できませんでした。","Unable to add server.",""
"1063","指定したサーバは既に追加されています。","Specified server already added.",""
"1064","進捗管理の作業期間変更","Change the working period of progress management?",""
"1065","作業期間を変更したい行をチェックしてください。","Please check the row, which you want to change the work period.",""
"1066","開始予定","Start schedule",""
"1067","終了予定","End schedule",""
"1068","起動アプリケーション指定","Specify startup application",""
"1069","行削除","Delete row",""
"1070","プロジェクト設定","Project settings",""
"1071","個人設定","Individual settings",""
"1072","拡張子を指定してください","Please specify the extension",""
"1073","拡張子が長すぎます","Extension is too long",""
"1074","起動アプリケーションを指定してください","Please specify startup application",""
"1075","起動アプリケーションが長すぎます","Startup application name is too long",""
"1076","拡張子","Extension",""
"1077","指定操作","Specified operation",""
"1078","起動アプリケーション","Startup application",""
"1079","#0;参照・編集|#1;参照|#2;編集","#0;View/edit|#1;View|#2;Edit",""
"1080","アプリケーション参照","Reference application",""
"1081","実行ファイル","Execution file",""
"1082","タブを切り替えると変更結果が失われます。よろしいですか？","Change results will be lost if you shift tab, continue anyway?",""
"1083","割当て先選択","Select assignee",""
"1084","全て解除","Cancel all",""
"1085","全てチェック","Check all",""
"1086","割当て先の作業者を選択してください","Please select assignee",""
"1087","一覧の表示列","List view's display column",""
"1088","最終確認者/確認日を表示する","Display latest validator/validation date",""
"1089","作業者/状態を表示する","Display worker/status",""
"1090","親プロジェクトのコンテンツを表示する","Display contents of parent project",""
"1091","登録コンテンツ名に拡張子を付加する","Add extension to the registered contents",""
"1092","起動時にコンテンツを読み込む","Read contents when starting",""
"1093","ツリー表示形式","Tree display style",""
"1094","タスク構成表示","Display task structure",""
"1095","機能構成表示","Display function structure",""
"1096","%1構成表示","Display %1 configuration",""
"1097","コンテンツ登録","Register contents",""
"1098","行複写","Copy row",""
"1099","パーサで登録","Registered by the purser",""
"1100","拡張子に対応した開発言語用のパーサを使用して登録します","Register using the parser of the development language corresponding to the extension.",""
"1101","(階層コンテンツとして登録)","(Register as level contents)",""
"1102","種別","Type",""
"1103","格納先フォルダ","Storing folder",""
"1104","階層","Level",""
"1105","全ての行を削除する事はできません","Unable to delete all rows",""
"1106","キャンセルしてよろしいですか？","Are you sure to cancel?",""
"1107","指定したフォルダは存在しません。作成して良いですか？","Specified folder not exists. Are you sure to create it?",""
"1108","登録中…","Registering...",""
"1109","ファイル名が不正または重複しているコンテンツがありました","File name illegal or repeated contents exist",""
"1110","別のファイル名を指定してください","Please specify other file name",""
"1111","登録元: ","Register-from: ",""
"1112","ファイル名が長すぎます","File name is too long",""
"1113","フォルダ名が長すぎます","Folder name is too long",""
"1114","影響コンテンツ参照","View effect contents",""
"1115","参照したいコンテンツを選択してください","Please select the contents to reference",""
"1116","影響コンテンツは登録されていません","Effect contents not registered",""
"1117","成果物格納場所変更","Change product storing location",""
"1118","進捗/品質管理適用アクティビティについては","About the applicable activity of progress/quality management, saving by",""
"1119","単位でフォルダ格納","Stored in the folder",""
"1120","進捗/品質管理非適用アクティビティについては","About the inapplicable activity of progress/quality management, saving by",""
"1121","成果物を「格納先フォルダ」に格納します。","Save the product in [Storing folder].",""
"1122","進捗/品質管理非適用%1については","About the inapplicable %1 of progress/quality managementl,",""
"1123","進捗/品質管理適用%1については","About the applicable %1 of progress/quality management,",""
"1124","%1にモジュール構成で格納場所が指定されているため、%r%nここには指定できません。","Since the storing location has been specified to %1 in the function structure,%r%nthus cannot be specified here.",""
"1125","%1に%2構成で格納場所が指定されているため、ここには指定できません。","Since the storing location has been specified to %1 in the %2  structure, thus cannot be specified here.",""
"1126","└","|_",""
"1127","　","  ",""
"1128","コンテンツを","Contents saving by",""
"1129","格納先フォルダを未設定にしてよろしいですか？","Are you sure not to set the storing folder?",""
"1130","格納先フォルダを指定してください","Please specify storing folder",""
"1131","格納先フォルダが長すぎます","Storing folder is too long",""
"1132","格納先フォルダに文字 ' は使用できません","The character ' cannot be used in the storing folder",""
"1133","格納先フォルダに、\\で始まる共有フォルダ名を指定してください","Please specify the share folder name starting with \\ for storing folder",""
"1134","格納先フォルダの指定が誤っています","The specification of storing folder is mistaken",""
"1135","成果物の移動を行うため、多少時間がかかります。よろしいですか？","It takes time to move product. Are you sure to do it?",""
"1136","移動中…","Moving...",""
"1137","格納場所を変更する時、以下の成果物でエラーが発生しました。","Error occurred with the following products when changing storing location.",""
"1138","…","...",""
"1139","ファイル名が入力されていません","File name not entered",""
"1140","ファイル名に\は使用できません","\ cannot be used in file name",""
"1141","ファイル名が重複しています","Repeated file name",""
"1142","フォルダを自分自身の中に移動することはできません","Unable to move a folder into a subfolder of itself",""
"1143","コンテンツ名： ","Contents name: ",""
"1144","ファイル名が長すぎるため移動できません","Cannot move since file name is too long",""
"1145","登録方法選択","Select register method",""
"1146","サーバフォルダとして登録","Register as server folder",""
"1147","フォルダ内のファイルを階層コンテンツとして登録","Register the files in the folder as level contents",""
"1148","フォルダ内のファイルを、フォルダ階層を継承して階層コンテンツとして登録します","Register the files in the folder as level contents by inheriting folder level",""
"1149","フォルダ内のファイルを個別に登録","Register files in the folder individually",""
"1150","フォルダ内のファイル(サブフォルダ内含む)を、個別にコンテンツとして登録します","Register the files in the folder (including subfolders) as individual contents",""
"1151","フォルダ自身を登録","Register folder itself",""
"1152","フォルダ自身をコンテンツとして登録します","Register folder itself as contents",""
"1153","コンテンツの登録方法を選択してください。","Please select contents registration method.",""
"1154","コピー先共有フォルダ指定","Specify copy-to share folder",""
"1155","に対応する、コピー先共有フォルダを指定してください。","Please specify the copy-to share folder",""
"1156","コピー元の共有フォルダ","Copy-from share folder",""
"1157","コピー元と同じ共有フォルダは指定できません","The same share folder as copy-from cannot be specified",""
"1158","\\で始まる共有フォルダ名を指定してください","Please specify the share folder name beginning with \\",""
"1159","共有フォルダ名を指定してください","Please specify share folder name",""
"1160","フォルダが存在しません。作成しますか？","Folder not exists. Create it?",""
"1161","他タスクへコピー","Copy to other task",""
"1162","格納場所を変更する","Change the storing location",""
"1163","コピー","Copy",""
"1164","コピー元タスク：","Copy-from task:",""
"1165","コピー先タスク：","Copy-to task:",""
"1166","格納場所名が誤っています","Storing location name is mistaken",""
"1167","格納場所","Storing location",""
"1168","指定した格納場所は存在しません","Specified storing location not exists",""
"1169","同じ階層ですが良いですか？","Is it OK for the same level?",""
"1170","同じ%1ですが良いですか？","Same %1, continue anyway?",""
"1171","他%1へコピー","Copy to other %1",""
"1172","コピー先%1：","Copy destination %1:",""
"1173","コピー元%1：","Copy-from %1:",""
"1174","他階層へコピー","Copy to other level",""
"1175","コピー先階層：","Copy destination level:",""
"1176","コピー元階層：","Copy-from level",""
"1177","コンテンツ情報の読み込みでエラーが発生しました","Error occurred when reading contents information",""
"1178","%1情報取得時にエラーが発生しました","Error occurred when acquiring %1 information",""
"1179","コピー先に成果物格納フォルダが設定されていますが、","Since the product storing folder is set as the copy destination,",""
"1180","「格納場所を変更する」がチェックされています。","[Change storing location] is checked.",""
"1181","成果物格納フォルダの設定を無視して良いですか？","Is it OK to ignore the settings of product storing location?",""
"1182","（いいえを選択すると、成果物格納フォルダに格納します）","(Saved in the product storing folder if selected no)",""
"1183","コピー先の成果物格納フォルダが存在しないか、アクセスできません。","Product storing folder of copy-from not exist, thus cannot be accessed.",""
"1184","ファイル名が長すぎるためコピーできません","Cannot copy since file name is too long",""
"1185","登録先タスク選択","Select register location task",""
"1186","登録先タスクを選択してください","Please select register location task",""
"1187","登録先%1選択","Select register location %1",""
"1188","登録先%1を選択してください","Please select register location %1",""
"1189","登録先階層選択","Select register location level",""
"1190","登録先階層を選択してください","Please select register location level",""
"1191","接続ユーザ：","Connecting user:",""
"1192","サーバIPアドレス：","Sever IP address:",""
"1193","バージョン：","Version:",""
"1194","作業割当て/コンテンツ登録","Register assignment/contents",""
"1195","(未接続)","(Unconnected)",""
"1196","(エラー%1)","(Error %1)",""
"1197","ネットワーク固有のエラーが発生しました","Specific Network error occurred.",""
"1198","ネットワークが利用できません","Unable to use Network",""
"1199","データベース","Database",""
"1200","データベースパス","Database path",""
"1201","Visual SourceSafe データベース ファイル選択","Select Visual SourceSafe Database file",""
"1202","Visual SourceSafe データベース(srcsafe.ini)|srcsafe.ini","Visual SourceSafe Database (srcsafe.ini)|srcsafe.ini",""
"1203","登録←","Register <--",""
"1204","ファイル/フォルダ","File/Folder",""
"1205","全選択","Select all",""
"1206","ﾌﾟﾛｾｽ","Process",""
"1207","構成管理ﾂｰﾙ","Configuration management tools",""
"1208","ファイル名を自動で振り直す","Set file name automatically",""
"1209","(コピーせずに割当て)","(Assigned without copy)",""
"1210","作業者変更時にEメール連絡する","Contact by E-mail when changing worker",""
"1211","コピーを割当て","Assign copy",""
"1212","参照　　","View    ",""
"1213","コンテンツを参照します","View the contents",""
"1214","関連付けで参照","View with associated application",""
"1215","ｴﾃﾞｨﾀで参照","View with editor",""
"1216","任意のｱﾌﾟﾘで参照","View with optional application",""
"1217","削除　　","Delete    ",""
"1218","コンテンツを削除します","Delete the contents",""
"1219","割当て ","Assign ",""
"1220","コンテンツを作業割当てします","Carry out work assignment of contents",""
"1221","新規ﾌｧｲﾙ","New file",""
